0	0	30
1	0	-41
2	0	110
3	0	60
4	0	5
5	0	75
6	0	-77
7	0	73
8	0	120
9	0	62
10	0	7
11	0	-52
12	0	29
13	0	6
14	0	-57
15	0	70
16	0	78
17	0	53
18	0	-57
19	0	-105
20	0	62
21	0	-55
22	0	-99
23	0	124
24	0	18
25	0	11
26	0	-75
27	0	90
28	0	-45
29	0	2
30	0	-9
31	0	-56
32	0	42
33	0	48
34	0	52
35	0	-38
36	0	-3
37	0	112
38	0	49
39	0	-12
40	0	-33
41	0	-102
42	0	107
43	0	51
44	0	-13
45	0	-13
46	0	-1
47	0	116
48	0	68
49	0	-26
50	0	-62
51	0	-89
52	0	47
53	0	-121
54	0	-25
55	0	-19
56	0	103
57	0	92
58	0	88
59	0	-69
60	0	-30
61	0	-106
62	0	-84
63	0	82
64	0	-17
65	0	-89
66	0	65
67	0	-101
68	0	-16
69	0	38
70	0	31
71	0	-39
72	0	-79
73	0	124
74	0	26
75	0	-19
76	0	-65
77	0	86
78	0	-34
79	0	-44
80	0	119
81	0	1
82	0	76
83	0	-53
84	0	2
85	0	-110
86	0	-10
87	0	-107
88	0	-12
89	0	53
90	0	119
91	0	-54
92	0	0
93	0	-94
94	0	-38
95	0	124
96	0	-11
97	0	51
98	0	-80
99	0	-99
